"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\verifing_email\data\models\verification_email_response.dart", "Dart", 9, 0, 7, 16
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\verifing_email\data\repo\verifiy_repo.dart", "Dart", 17, 0, 4, 21
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\verifing_email\logic\verification_email_cubit.dart", "Dart", 25, 1, 12, 38
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\verifing_email\logic\verification_email_state.dart", "Dart", 9, 0, 8, 17
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\verifing_email\ui\verifing_email_screen.dart", "Dart", 55, 0, 3, 58
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\verifing_email\ui\widgets\verification_digits.dart", "Dart", 57, 1, 7, 65
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\auth\verifing_email\ui\widgets\verification_email_bloc_listener.dart", "Dart", 98, 0, 10, 108
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\data\models\current_spot_detail_card.dart", "Dart", 7, 0, 1, 8
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\data\models\delete_reservation_response.dart", "Dart", 26, 0, 12, 38
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\data\repo\delete_reservation_repo.dart", "Dart", 16, 0, 8, 24
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\logic\delete_reservation_cubit\delete_reservation_cubit.dart", "Dart", 28, 0, 7, 35
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\logic\delete_reservation_cubit\delete_reservation_state.dart", "Dart", 8, 0, 3, 11
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\current_page.dart", "Dart", 79, 0, 9, 88
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\camera_photage.dart", "Dart", 201, 3, 31, 235
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\current_cost_card.dart", "Dart", 67, 1, 3, 71
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\current_page_listner.dart", "Dart", 30, 0, 3, 33
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\custom_timer.dart", "Dart", 61, 5, 6, 72
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\is_reserved_false.dart", "Dart", 20, 0, 5, 25
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\is_reserved_true.dart", "Dart", 51, 51, 13, 115
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\nearest_way.dart", "Dart", 50, 1, 3, 54
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\current_page\ui\widget\spot_details_card.dart", "Dart", 144, 21, 5, 170
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\data\models\get_garage_by_Id_request_body.dart", "Dart", 10, 0, 7, 17
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\data\models\get_garage_by_id_response_body.dart", "Dart", 37, 0, 8, 45
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\data\models\reserve_request_body.dart", "Dart", 12, 0, 8, 20
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\data\models\reserve_response.dart", "Dart", 23, 1, 15, 39
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\data\repo\get_garage_by_id_repo.dart", "Dart", 16, 0, 7, 23
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\data\repo\reservation_repo.dart", "Dart", 19, 0, 8, 27
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\add_reservation_cubit\add_reservation_cubit.dart", "Dart", 27, 5, 7, 39
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\add_reservation_cubit\add_reservation_state.dart", "Dart", 8, 0, 3, 11
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\garage_by_id_cubit\garagebyid_cubit.dart", "Dart", 20, 0, 7, 27
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\garage_by_id_cubit\garagebyid_state.dart", "Dart", 8, 0, 3, 11
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\toggle_panel_cubit\toggle_panel_cubit.dart", "Dart", 11, 0, 8, 19
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\update_available_spots_cubit.dart\update_available_spots.dart", "Dart", 6, 3, 8, 17
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\update_ui_cubit\update_ui_cubit.dart", "Dart", 8, 0, 6, 14
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\logic\update_ui_cubit\update_ui_state.dart", "Dart", 5, 0, 6, 11
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\ui\explore_page.dart", "Dart", 85, 151, 45, 281
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\ui\widgets\garage_data_holder.dart", "Dart", 169, 1, 8, 178
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\ui\widgets\toggle_gesture.dart", "Dart", 38, 0, 3, 41
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\explore_page\ui\widgets\widgets_inside_sliding_up_panel.dart", "Dart", 85, 12, 7, 104
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\data\constant\api_constant.dart", "Dart", 1, 0, 2, 3
"c:\Users\khale\OneDrive\Documents\my projects\GarageGO\lib\features\google_map\data\models\get_all_garages_response_body.dart", "Dart", 37, 0, 11, 48
